2025-07-25 01:43:47.106481,3232235777,DOWN,
2025-07-25 01:43:49.579648,3232235778,DOWN,
2025-07-25 01:43:52.076813,3232235779,DOWN,
2025-07-25 01:43:54.565696,3232235780,DOWN,
2025-07-25 01:43:57.044513,3232235781,DOWN,
2025-07-25 01:43:59.543973,3232235782,DOWN,
2025-07-25 01:44:03.009039,3232235783,DOWN,
2025-07-25 01:44:05.843531,3232235784,DOWN,
2025-07-25 01:44:08.720704,3232235785,DOWN,
2025-07-25 01:44:11.261194,3232235786,DOWN,
2025-07-25 01:46:49.600375,192.168.1.1,UP,3.41
2025-07-25 01:46:49.811670,192.168.1.2,UP,8.51
2025-07-25 01:46:52.020093,192.168.1.3,DOWN,
2025-07-25 01:46:52.729893,192.168.1.4,DOWN,
2025-07-25 01:46:54.942348,192.168.1.5,DOWN,
2025-07-25 01:46:55.226681,192.168.1.6,DOWN,
2025-07-25 01:46:55.544424,192.168.1.7,UP,95.3
2025-07-25 01:46:55.746501,192.168.1.8,UP,0.41
2025-07-25 01:46:57.732997,192.168.1.9,DOWN,
2025-07-25 01:46:58.726272,192.168.1.10,DOWN,
2025-07-25 01:47:54.724856,192.168.1.1,DOWN,
2025-07-25 01:47:56.931995,192.168.1.2,DOWN,
2025-07-25 01:47:59.148783,192.168.1.3,DOWN,
2025-07-25 01:47:59.723652,192.168.1.4,DOWN,
2025-07-25 01:48:01.928031,192.168.1.5,DOWN,
2025-07-25 01:48:02.255667,192.168.1.6,DOWN,
2025-07-25 01:48:02.731060,192.168.1.7,DOWN,
2025-07-25 01:48:02.941123,192.168.1.8,UP,0.78
2025-07-25 01:48:46.971393,192.168.1.1,DOWN,
2025-07-25 01:48:49.176566,192.168.1.2,DOWN,
2025-07-25 01:48:49.737289,192.168.1.3,DOWN,
2025-07-25 01:48:51.941975,192.168.1.4,DOWN,
2025-07-25 01:48:52.237192,192.168.1.5,DOWN,
2025-07-25 01:48:52.741176,192.168.1.6,DOWN,
2025-07-25 01:48:54.734330,192.168.1.7,DOWN,
2025-07-25 01:48:54.940107,192.168.1.8,UP,1.28
2025-07-25 01:48:55.229794,192.168.1.9,DOWN,
2025-07-25 01:48:55.728266,192.168.1.10,DOWN,
2025-07-25 02:01:32,192.168.1.1,UP,3.14,Unknown,8c:13:e2:03:32:57
2025-07-25 02:01:37,192.168.1.2,UP,8.27,Unknown,bc:29:78:76:51:cf
2025-07-25 02:01:40,192.168.1.3,DOWN,N/A,-,-
2025-07-25 02:01:40,192.168.1.4,DOWN,N/A,-,-
2025-07-25 02:01:42,192.168.1.5,DOWN,N/A,-,-
2025-07-25 02:01:43,192.168.1.6,DOWN,N/A,-,-
2025-07-25 02:01:43,192.168.1.7,DOWN,N/A,-,-
2025-07-25 02:01:43,192.168.1.8,UP,0.43,VRJ,192.168.1.8
2025-07-25 02:01:45,192.168.1.9,DOWN,N/A,-,-
2025-07-25 02:01:46,192.168.1.10,DOWN,N/A,-,-
2025-07-25 02:03:32,192.168.1.1,UP,3.65,Unknown,8c:13:e2:03:32:57
2025-07-25 02:03:37,192.168.1.2,UP,3.52,Unknown,bc:29:78:76:51:cf
2025-07-25 02:03:39,192.168.1.3,DOWN,N/A,-,-
2025-07-25 02:03:40,192.168.1.4,DOWN,N/A,-,-
2025-07-25 02:03:42,192.168.1.5,DOWN,N/A,-,-
2025-07-25 02:03:43,192.168.1.6,DOWN,N/A,-,-
2025-07-25 02:03:45,192.168.1.7,DOWN,N/A,-,-
2025-07-25 02:03:45,192.168.1.8,UP,0.7,VRJ,192.168.1.8
2025-07-25 02:03:47,192.168.1.9,DOWN,N/A,-,-
2025-07-25 02:03:48,192.168.1.10,DOWN,N/A,-,-
2025-07-25 02:05:20,192.168.1.1,UP,3.02,Unknown,8c:13:e2:03:32:57
2025-07-25 02:05:25,192.168.1.2,UP,4.57,Unknown,bc:29:78:76:51:cf
2025-07-25 02:05:27,192.168.1.3,DOWN,N/A,-,-
2025-07-25 02:05:28,192.168.1.4,DOWN,N/A,-,-
2025-07-25 02:05:30,192.168.1.5,DOWN,N/A,-,-
2025-07-25 02:05:31,192.168.1.6,DOWN,N/A,-,-
2025-07-25 02:05:33,192.168.1.7,DOWN,N/A,-,-
2025-07-25 02:05:33,192.168.1.8,UP,0.76,VRJ,192.168.1.8
2025-07-25 02:05:35,192.168.1.9,DOWN,N/A,-,-
2025-07-25 02:05:36,192.168.1.10,DOWN,N/A,-,-
